id,name,price,brand,sell,rating,volume
172718602,Джинсы Mom для девочек,123100,O'STIN,38,4.6,63
171767361,Широкие женские брюки из экокожи,150800,O'STIN,46,4.6,50
169646479,Джемпер в рубчик с воротником-стойкой,49200,O'STIN,38,4.3,20
169765415,Спортивные брюки для девочек,86100,O'STIN,38,4.8,68
173498647,Шапка с отворотом и патчем,44000,O'STIN,37,4.8,10
172718515,Хлопковый свитер для мальчиков,73800,O'STIN,38,4.9,31
180286701,Толстовка,86100,O'STIN,46,4.9,76
169765386,Женские брюки,141600,O'STIN,38,4.5,44
173470407,Мужская утепленная стеганая куртка с воротником-стойкой,355600,O'STIN,40,4.6,110
175627897,Утепленная куртка с воротником-стойкой,323300,O'STIN,46,4.5,176
171767162,Женский джемпер в рубчик с воротником-стойкой,96900,O'STIN,46,4.7,17
172572173,Джемпер трикотажный однотонный демисезонный,96900,O'STIN,46,4.4,23
178082598,Платье,107700,O'STIN,46,4.6,41
171767046,Брюки демисезонные трикотажные,96900,O'STIN,46,4.5,27
177372154,Брюки,140000,O'STIN,46,4.7,10
172718549,Куртка,247800,O'STIN,46,4.7,242
170124262,Трусы,80000,O'STIN,38,4.7,4
169729878,Футболка,73800,O'STIN,38,4.8,34
169089808,Свитшот с длинным рукавом,96900,O'STIN,46,4.2,124
169089748,Джемпер,83700,O'STIN,47,4.9,24
177372219,Брюки демисезонные на резинке на лямках,140000,O'STIN,46,4.8,89
171767333,Джемпер демисезонный трикотажный с капюшоном,161600,O'STIN,46,4.6,46
178326991,Носки,27900,O'STIN,30,5,10
175627855,Брюки трикотажные спортивные,53800,O'STIN,46,4.7,11
170108224,Вязаное платье с воротником-стойкой на молнии,161600,O'STIN,46,4.6,77
180156923,Пальто,485000,O'STIN,46,4.7,176
169117782,"Трусы-боксеры, комплект 2 шт",70000,O'STIN,46,5,17
169646483,Женская футболка с принтом,49200,O'STIN,38,4.8,19
172718567,Широкие джинсы со складками для девочек,147700,O'STIN,38,4.9,73
169089713,Брюки широкие на молнии и крючках,172400,O'STIN,38,4.8,76
176349938,Куртка,431100,O'STIN,46,4.8,293
170108675,Худи на молнии с капюшоном,160000,O'STIN,38,4.3,100
171767312,Базовая утепленная мужская куртка с воротником-стойкой,215500,O'STIN,46,4.6,220
169729906,Женская футболка оверсайз,49200,O'STIN,38,4.8,27
175634070,Шапка,43000,O'STIN,46,4.8,14
175631211,Трусы,75400,O'STIN,46,5,5
175634043,Шапка,43000,O'STIN,46,4.7,16
172718533,Леггинсы демисезонные на резинке с принтом для девочек,37700,O'STIN,37,4.9,4
171767050,Брюки демисезонные на резинке с завязками,161600,O'STIN,46,4.6,40
178245552,Платье миди текстильное на пуговицах,161600,O'STIN,46,4.5,42
170108146,Джемпер,107700,O'STIN,46,4.7,83
180308605,Варежки меховые зимние,52400,O'STIN,47,4.7,27
176595337,Толстовка,107700,O'STIN,46,4.8,122
169646481,Футболка свободная для мальчиков,49200,O'STIN,38,5,18
172572169,Куртка демисезонная текстильная на кнопках с капюшоном,269400,O'STIN,46,4.7,216
171767464,Базовая утепленная мужская куртка с воротником-стойкой,215500,O'STIN,46,4.6,220
170108363,Женский джемпер свободного кроя,140000,O'STIN,46,4.9,94
178245656,Куртка утепленная с капюшоном,323300,O'STIN,46,4.7,325
169089695,Брюки джоггеры демисезонные на резинке,150800,O'STIN,46,4.6,110
178245550,Широкие брюки из поливискозы,161600,O'STIN,46,4.4,27
176595382,Брюки,123100,O'STIN,38,4.9,66
169089727,Женская футболка оверсайз со стразами,73800,O'STIN,38,4.8,35
174340409,Короткая куртка из искусственной кожи,355600,O'STIN,40,4.7,272
169089739,Мужской джемпер-поло белого цвета,140000,O'STIN,46,4.3,84
172718598,Женские прямые трикотажные брюки,96900,O'STIN,46,4.7,29
169089760,Женская футболка с принтом,49200,O'STIN,38,4.8,19
172718583,Джинсы зауженные демисезонные на молнии,184700,O'STIN,38,4.8,47
171767452,Джинсы широкие демисезонные на молнии,203200,O'STIN,38,4.7,70
178245682,Джемепер,150800,O'STIN,46,4.7,30
174340403,Утепленная куртка с воротником-стойкой,392600,O'STIN,34,4.8,188
169089800,Мужские брюки в клетку с поясом на резинке,184700,O'STIN,38,4.8,74
169089784,Футболка однотонная хлопковая с принтом,61500,O'STIN,38,4.9,21
168126938,Футболка хлопковая свободная без карманов,43000,O'STIN,46,4.8,18
178245636,Брюки вязаные прямые,161600,O'STIN,46,4.6,41
176595355,Толстовка с капюшоном,75400,O'STIN,46,4.9,35
171767263,Джемпер трикотажный однотонный демисезонный,96900,O'STIN,46,4.4,23
174340407,Куртка,392600,O'STIN,34,4.7,176
177372218,Лонгслив,75400,O'STIN,46,4.3,11
170108241,Худи,147700,O'STIN,38,4.6,94
171767401,Джинсы узкие демисезонные на молнии,140000,O'STIN,46,4.7,44
178245674,Джемпер с круглым вырезом,150800,O'STIN,46,4.8,44
176595421,Свитер с горлом,86100,O'STIN,46,4.8,45
169089752,Джинсы прямые со стразами демисезонные,172700,O'STIN,47,4.7,72
177372169,Джемпер,140000,O'STIN,46,4.7,59
171984607,Кардиган трикотажный в клетку на молнии,221600,O'STIN,38,4.9,67
169089792,Джемпер трёхтонный демисезонный,140000,O'STIN,46,4.8,84
171767294,Вязаное платье А-силуэта,221600,O'STIN,38,4.8,50
170124220,"Трусы-брифы женские, комплект 3 шуки",80000,O'STIN,38,4.7,8
171767315,Джинсы широкие демисезонные на молнии с каргко-карманами,246300,O'STIN,38,5,63
175627882,Куртка,269400,O'STIN,46,4.5,212
180286707,Куртка,269400,O'STIN,46,4.6,202
173470403,Базовый мужской лонгслив,86100,O'STIN,38,4.5,76
169646486,Футболка хлопковая с короткими рукавами,49200,O'STIN,38,4.7,26
170108227,Джемпер поло в рубчик с отложным воротником,110800,O'STIN,38,4.7,43
172172787,Шерстяная кепка с патчем,64600,O'STIN,46,5,63
164749409,Брюки для мальчика из твила с поясом,107700,O'STIN,46,4.8,53
178082626,Лонгслив,96900,O'STIN,46,4.6,35
169765331,Брюки,107700,O'STIN,46,4.7,107
169765382,Брюки багги на резинке,110800,O'STIN,38,4.6,119
170108358,Рубашка хлопковая белая в клетку,107700,O'STIN,46,4.9,37
171767343,Брюки демисезонные трикотажные на резинке,107700,O'STIN,46,4.4,35
180286717,Широкие вельветовые брюки,150800,O'STIN,46,4.7,40
173470448,Утепленная мужская куртка с капюшоном,369500,O'STIN,38,4.7,220
171767379,Брюки узкие демисезонные текстильные,123900,O'STIN,46,4.7,19
178245602,Брюки,140000,O'STIN,46,4.9,42
169089731,Мужские брюки в клетку с поясом на резинке,184700,O'STIN,38,4.8,74
171767313,Джемпер трикотажный однотонный демисезонный,96900,O'STIN,46,4.4,18
170108228,Худи,147700,O'STIN,38,4.6,94
176595422,Свитер,86100,O'STIN,46,4.8,59
172718552,Футболка с принтом для мальчиков,37700,O'STIN,37,4.9,4
171767309,Прямые женские брюки со стрелками,161600,O'STIN,46,4.8,23
175631174,"Носки демисезонные однотонные с вышивкой, набор 3 пары",44000,O'STIN,37,4.9,7
169765351,Брюки клеш текстильные демисезонные,141600,O'STIN,38,4.5,41
171767259,Джинсы демисезонные прямые на молнии,184700,O'STIN,38,4.7,40
171992446,Джемпер в полоску с длинными рукавами,140000,O'STIN,46,4.8,33
177372155,Платье миди вязаное с декоративными пуговицами,215500,O'STIN,46,4.8,64
171767210,Джинсы широкие демисезонные на молнии,203200,O'STIN,38,4.6,36
170108289,Толстовка,83700,O'STIN,47,4.6,45
173498630,Шапка,43000,O'STIN,46,4.9,12
177372216,Лонгслив в полоску демисезонный,96900,O'STIN,46,4.6,35
169089806,Однотонный джемпер с принтом,129300,O'STIN,46,4.5,81
172172772,Вельветовая кепка,53800,O'STIN,46,5,84
172718600,Куртка демисезонная текстильная на молнии для мальчика,247800,O'STIN,46,4.7,198
171767335,Худи трикотажное на молнии с принтом и капюшоном,221600,O'STIN,38,4.8,111
169765437,Женские широкие брюки в клетку с ремнем,150800,O'STIN,46,4.7,72
176595371,Джемпер,107700,O'STIN,46,4.8,91
169765422,Женские прямые джинсы серого цвета,154700,O'STIN,48,4.6,63
169089700,Рубашка текстильная с отложным воротником,83700,O'STIN,47,4.6,13
178968935,Варежки вязаные текстильные утеплённые,52400,O'STIN,47,4.8,16
169089804,Джемпер с длинными рукавами демисезонный,123900,O'STIN,46,4.6,94
170108595,Худи на молнии однотонная,160000,O'STIN,38,4.5,81
175631223,"Комплект трусов 2 шт, однотонные с принтом",70000,O'STIN,46,4.9,13
177372159,Джемпер,177800,O'STIN,46,4.2,66
171767248,Шифоновое женское платье с поясом,172400,O'STIN,38,4.6,48
169089773,Водолазка с горлом и длинными рукавами,129300,O'STIN,46,4.8,113
175627885,Куртка с капюшоном на молнии с искусственным мехом,485000,O'STIN,46,5,176
173470462,Утепленная мужская парка с капюшоном,554300,O'STIN,38,4.7,220
170108342,Кардиган,83700,O'STIN,47,4.7,34
170124251,Трусы брифы,44000,O'STIN,37,4.7,7
168264293,Лонгслив демисезонный хлопковый однотонный,86100,O'STIN,38,4.5,50
172172767,Меховая панама теплая с патчем,98400,O'STIN,38,4.6,39
173470438,Женское платье-поло,161600,O'STIN,46,4.8,81
173430195,Джемпер,161600,O'STIN,46,4.8,105
176605011,Перчатки женские вязаные,52400,O'STIN,47,4.9,5
176595387,Брюки,86100,O'STIN,38,4.9,35
170108143,Женский джемпер-поло оверсайз,141600,O'STIN,38,4.2,73
171767192,Вязаное платье на запах с поясом,184700,O'STIN,38,4.5,52
171767344,Джемпер трикотажный однотонный демисезонный,96900,O'STIN,46,4.4,54
171767277,Джинсы прямые демисезонные на молнии,184700,O'STIN,38,4.5,77
173470419,Джемпер мужской,129300,O'STIN,46,4.8,49
170108592,Худи на молнии однотонная,160000,O'STIN,38,4.5,81
175627914,Свитер,96900,O'STIN,46,4.9,57
174340431,Водолазка демисезонная трикотажная с принтом,43000,O'STIN,46,4.6,8
172172778,Женская шапка без отворота,44000,O'STIN,37,4.7,10
177372168,Джемпер вязаный однотонный демисезонный,140000,O'STIN,46,4.7,59
170108184,Жилетка вязаная трикотажная с ромбами,94100,O'STIN,47,4.8,42
170108246,Платье с принтом для девочек,49200,O'STIN,38,4.8,13
169089720,Футболка хлопковая с короткими рукавами,49200,O'STIN,38,4.7,26
180286718,Брюки,150800,O'STIN,46,4.7,31
165423966,Носки короткие следки набор 5 шт,43000,O'STIN,46,4.9,5
169646493,Женская блузка с принтом,104600,O'STIN,47,4.6,24
178245626,Широкие джинсы с высокой посадкой,193900,O'STIN,46,4.6,80
173425543,Классическая рубашка с принтом,98500,O'STIN,50,4.8,34
166269963,"Трусы-транки из хлопка Supima, боксеры комплект 2шт",64600,O'STIN,46,4.8,16
169729882,Футболка хлопковая с принтом для мальчика,28700,O'STIN,28,4.8,18
174340426,Джемпер крупной вязки с разрезами,140000,O'STIN,46,4.7,62
175627899,Брюки демисезонные на резинке с принтом,64600,O'STIN,46,4.9,21
173430185,Джемпер женский с воротником-стойкой,140000,O'STIN,46,4.2,59
171767403,Женские джинсы Boyfriend,161600,O'STIN,46,4.6,32
178975709,Шапка с отворотом на флисе,43000,O'STIN,46,4.9,10
175627901,Куртка демисезонная с капюшоном на молнии,485000,O'STIN,46,4.6,220
169090505,Бомбер демисезонный,154700,O'STIN,48,4.8,60
169089780,Брюки,107700,O'STIN,46,4.4,40
174340400,Стеганое длинное пальто с капюшоном и поясом,431100,O'STIN,38,4.8,110
174340440,Куртка,301700,O'STIN,46,4.5,271
173470476,Длинная стеганая мужская куртка с отложным воротником,388000,O'STIN,44,4.3,150
171767155,Брюки демисезонные на резинке с завязками,150800,O'STIN,46,4.6,74
178082590,Брюки,140000,O'STIN,46,4.7,10
167276596,Трикотажная толстовка с принтом,64600,O'STIN,46,5,25
169729898,Футболка с короткими рукавами,49200,O'STIN,38,4.6,40
170108151,Женский короткий джемпер с V-образным вырезом,107700,O'STIN,46,4.7,83
169646494,Мини юбка с ремнём,104600,O'STIN,47,4.8,56
178326985,Носки,13900,O'STIN,30,4.8,3
175631171,"Трусы хипстеры с кружевом с принтом, комплект 2 шт",53800,O'STIN,46,5,4
169089763,Штаны-джоггеры на резинке демисезонные,172400,O'STIN,38,4.9,44
169089744,Прямые мужские брюки,221600,O'STIN,38,4.8,97
169089779,Хлопковая рубашка оверсайз в полоску,104600,O'STIN,47,4.6,9
167275766,Брюки трикотажные для девочек с принтом и на шнурке,53800,O'STIN,46,4.9,17
170108156,Блузка демисезонная текстильная на пуговицах,107700,O'STIN,46,4.6,39
178245617,Водолазка,140000,O'STIN,46,4.9,52
172172770,Повязка на голову,44000,O'STIN,37,5,6
178326984,Носки,13900,O'STIN,30,4.8,3
180286647,Пушистый укороченный джемпер,96900,O'STIN,46,5,47
167275833,Брюки трикотажные на мальчика на шнурке,94100,O'STIN,47,4.6,37
169646497,Платье на запах однотонное,136000,O'STIN,47,4.6,60
171767168,Лонгслив демисезонный хлопковый с принтом,98400,O'STIN,38,4.4,21
178949198,Толстовка,64600,O'STIN,46,4.6,41
173498634,Шапка,44000,O'STIN,37,4.8,9
172140331,Джинсы зауженные демисезонные на молнии,246300,O'STIN,38,4.7,30
176605002,Шарф,83900,O'STIN,47,4.9,21
171984604,Кардиган трикотажный в клетку на молнии,221600,O'STIN,38,4.9,67
171767436,Толстовка трикотажная с капюшоном на завязках,160000,O'STIN,38,4.7,65
169646505,Джемпер с длинными рукавами демисезонный,104600,O'STIN,47,4.6,94
169729889,Футболка с короткими рукавами,49200,O'STIN,38,4.6,40
180286660,Брюки клёш из экокожи,150800,O'STIN,46,4.6,41
171767145,Женский джемпер в рубчик с воротником-стойкой,96900,O'STIN,46,4.7,21
177372160,Джемпер,177800,O'STIN,46,4.2,66
176605012,Перчатки,52400,O'STIN,47,4.9,8
175644419,Перчатки,52400,O'STIN,47,4.9,7
175631213,Трусы,53800,O'STIN,46,4.8,5
100642851,Джинсы свободные зауженные к низу,246300,O'STIN,38,4.7,44
171767018,Женское мини платье из искусственной кожи,130800,O'STIN,34,4.7,48
173425544,Классическая рубашка с принтом,98500,O'STIN,50,4.8,34
169089694,Брюки джоггеры демисезонные на резинке,150800,O'STIN,46,4.6,110
174340405,Стеганое удлиненное пальто с поясом,431100,O'STIN,38,4.7,88
175631197,Трусы,70000,O'STIN,46,4.7,11
169107915,Сумка трикотажая на плечо с молнией,125900,O'STIN,47,4.6,53
176595413,Куртка демисезонная утеплённая с капюшоном на молнии,377200,O'STIN,46,4.9,287
171767441,Джинсы классические демисезонные на молнии,161600,O'STIN,46,4.2,38
174340420,Укороченная куртка с воротником-стойкой,215500,O'STIN,46,4.7,133
174340412,Утепленная куртка с капюшоном и карманами,431100,O'STIN,46,4.7,264
178245770,Джемепер,107700,O'STIN,46,4.8,47
172718483,Платье мини трикотажное для девочек,53800,O'STIN,46,4.8,12
172719774,Худи на молнии для мальчиков,64600,O'STIN,46,4.7,22
178245569,Базовый джемпер с шерстью,107700,O'STIN,46,5,44
170108161,Джемпер с длинными рукавами,107700,O'STIN,46,4.8,60
171767281,Куртка демисезонная текстильная на молнии,323300,O'STIN,46,4.8,176
169089783,Джемпер трёхтонный демисезонный,140000,O'STIN,46,4.8,84
